,曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ,再生回数,収録回数,再生回数_日付
255,Hope in the darkness,THE DIGITALIAN,2014,,"作詞：小川貴史, HYDRANT / 作曲：David Keiffer Johnston, Wesley Steed, Sigurdur Kristinn Sigtryggsson pka Siggi / 編曲：metropolitan digital clique, A-bee",アルバム,19,1,20241110 08:40:26
256,Take Off!!!!!,THE DIGITALIAN,2014,,作詞：櫻井翔 / 作曲・編曲：Stephan Elfgren,アルバム,432,1,20241110 08:40:26
257,Sakura,Sakura | Japonism,2015,TBS系ドラマ「ウロボロス〜この愛こそ、正義。」主題歌,作詞・作曲：eltvo / 編曲：佐々木博史,シングル,145,6,20241110 08:40:26
258,Rise and Shine,Sakura,2015,,"作詞：100+, mfmsiQ, John World / 作曲：Erik Lidbom, youwhich / 編曲：石塚知生",カップリング,2,0,20241110 08:40:26
259,同じ空の下で,Sakura,2015,,作詞・作曲・編曲：Trevor Ingram,カップリング,0,0,20241110 08:40:26
260,more and more,Sakura,2015,,"作詞：HYDRANT / 作曲：Daniel Sherman, Katerina Bramley, Robert Hanna / 編曲：吉岡たく",カップリング,0,0,20241110 08:40:26
261,青空の下、キミのとなり,青空の下、キミのとなり | Japonism,2015,フジテレビ系ドラマ「ようこそ、わが家へ」主題歌,"作詞：wonder note, s-Tnk / 作曲：Gigi, wonder note / 編曲：metoropolitan digital clique",シングル,33,4,20241110 08:40:26
262,Dandelion,青空の下、キミのとなり,2015,,"作詞：ASIL, Macoto56 / 作曲：AKJ & ASIL / 編曲：A.K．Janeway",カップリング,3,0,20241110 08:40:26
263,この手のひらに,青空の下、キミのとなり,2015,,"作詞：佐伯youthK, SQUAREF, John World / 作曲：Supercharge, 佐伯youthK / 編曲：吉岡たく",カップリング,3,0,20241110 08:40:26
264,何度だって,青空の下、キミのとなり,2015,,作詞・作曲・編曲：youth case,カップリング,2,0,20241110 08:40:26
265,愛を叫べ,愛を叫べ | Are You Happy?,2015,リクルート ゼクシィ CMソング ,"作詞・作曲：100+ / 編曲：100+, 佐々木博史",シングル,73,5,20241110 08:40:26
266,ユメニカケル,愛を叫べ,2015,JAL2015キャンペーンソング/JAL「JAL FLY to 2020」CMソング,"作詞：古川貴浩, 小川貴史, John World / 作曲：古川貴浩 / 編曲：ha-j",カップリング,112,3,20241110 08:40:26
267,Mr.Lonely,愛を叫べ,2015,,"作詞：Pink Wolf, Trevor Ingram / 作曲：Trevor Ingram, kanata Okajima, Stephen Rudden / 編曲：Trevor Ingram, A.K.Janeway",カップリング,40,0,20241110 08:40:26
268,It's good to be bad,愛を叫べ,2015,,"作詞：Shigeo, eltvo / 作曲：Gigi, wonder note / 編曲：Octobar",カップリング,1,0,20241110 08:40:26
269,I say,愛を叫べ,2015,,"作詞：みうらともかず / 作曲：sk-etch, BERT, ROLF / 編曲：sk-etch",カップリング,1,0,20241110 08:40:26
270,心の空,Japonism,2015,,作詞・作曲・編曲：布袋寅泰 / Rap詞：櫻井翔,アルバム,211,2,20241110 08:40:26
271,君への想い,Japonism,2015,,"作詞：wonder note, Macoto56 / Rap詞：櫻井翔 / 作曲：wonder note / 編曲：石塚知生",アルバム,31,1,20241110 08:40:26
272,miyabi-night,Japonism,2015,,"作詞：Macoto56, AKJ & ASIL / 作曲：AKJ & ASIL / 編曲：A.K.Janeway",アルバム,27,2,20241110 08:40:26
273,三日月,Japonism,2015,,作詞：youth case / 作曲・編曲：A-bee,アルバム,5,1,20241110 08:40:26
274,Bolero!,Japonism,2015,,作詞・作曲：SAKRA / 編曲：Slice of Life,アルバム,7,2,20241110 08:40:26
275,イン・ザ・ルーム,Japonism,2015,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲・編曲：Jeremy Hammond,アルバム,59,2,20241110 08:40:26
276,マスカレード,Japonism,2015,,作詞・作曲：HYDRANT / 編曲：船山基紀,アルバム,41,2,20241110 08:40:26
277,伝えたいこと,Japonism,2015,,"作詞：ASIL, s-Tnk / 作曲： Fredrik ""Figge"" Boström, Susumu Kawaguchi / 編曲：pieni tonttu",アルバム,10,0,20241110 08:40:26
278,Japonesque,Japonism,2015,,"作詞：MiNE, R.P.P / 作曲：sk-etch, MiNE / 編曲：ha-j, sk-etch",アルバム,310,2,20241110 08:40:26
279,日本よいとこ摩訶不思議,Japonism,2015,少年隊 カバー,作詞・作曲：野村義男 / 編曲：佐々木博史,アルバム,10,1,20241110 08:40:26
280,僕らがつないでいく,Japonism,2015,,"作詞：SQUAREF, John World / 作曲：Pippi Svensson, Josef Melin / 編曲：BJ Khan",アルバム,6,2,20241110 08:40:26
281,the Deep End,Japonism,2015,,"作詞：100+ / 作曲：STEVEN TEE, Drew Ryan Scott, Andreas Oberg / 編曲：A.K.Janeway",アルバム,3,0,20241110 08:40:26
282,Make a wish,Japonism,2015,,"作詞：いなむらさちこ / 作曲：sk-etch, Shu Kanematsu, BEAT, ROLF / 編曲：佐々木博史",アルバム,24,1,20241110 08:40:26
283,ふるさと,Japonism,2015,第63回紅白歌合戦 イメージソング/第80回NHK全国学校音楽コンクール小学生の部 課題曲,作詞：小山薫堂 / 作曲：youth case / 編曲：宮野幸子,アルバム,24,1,20241110 08:40:26
284,復活LOVE,復活LOVE | Are You Happy?,2016,NTTドコモdヒッツ CMソング,作詞：竹内まりや / 作曲・編曲：山下達郎,シングル,228,5,20241110 08:40:26
285,affection,復活LOVE,2016,,作詞・作曲：nobby / 編曲：佐々木博史,カップリング,0,0,20241110 08:40:26
286,愛のCollection,復活LOVE,2016,,作詞：paddy / 作曲：Chris Meyer / 編曲：吉岡たく,カップリング,2,0,20241110 08:40:26
287,Bang Bang,復活LOVE,2016,,"作詞：100+ / 作曲：Robert Hanna, Ninos Hanna, Jeppe Reil, Thomas Reil / 編曲：石塚知生",カップリング,4,0,20241110 08:40:26
288,Are you ready now?,復活LOVE,2016,,作詞：みうらともかず / 作曲・編曲：Jeremy Hammond,カップリング,5,0,20241110 08:40:26
289,I seek,I seek/Daylight | Are You Happy?,2016,日本テレビ系ドラマ「世界一難しい恋」主題歌,作詞：ASIL / 作曲：AKJ & ASIL / 編曲：石塚知生,シングル,145,2,20241110 08:40:26
290,Daylight,I seek/Daylight | Are You Happy?,2016,TBS系ドラマ「99.9 刑事専門弁護士」主題歌,"作詞：stereograph / Rap詞：櫻井翔 / 作曲：Simon Janlov, wonder note / 編曲：佐々木博史",シングル,266,2,20241110 08:40:26
291,ただいま,I seek/Daylight,2016,「ARASHI “Japonism Show” in ARENA」テーマ曲,作詞：paddy / 作曲：Kehn mind / 編曲：metoropolitan digital clique,カップリング,1,1,20241110 08:40:26
292,supersonic,I seek/Daylight,2016,,"作詞：100+ / Kevin Charge, David Fremberg, youth case / 編曲：吉岡たく",カップリング,48,1,20241110 08:40:26
293,Power of the Paradise,Power of the Paradise | 「untitled」,2016,日本テレビ系 リオデジャネイロ2016 テーマソング,作詞：paddy / 作曲：nobby / 編曲：ha-j,シングル,200,2,20241110 08:40:26
294,花,Power of the Paradise,2016,,"作詞：小川貴史 / 作曲：Justin Reinstein, wonder note / 編曲：佐々木博史",カップリング,24,0,20241110 08:40:26
295,DRIVE,Are You Happy?,2016,under the supervision of Jun M.,作詞：Macoto56 / 作曲・編曲：Jeremy Hammond,アルバム,26,1,20241110 08:40:26
296,Ups and Downs,Are You Happy?,2016,,"作詞：市川喜康 / 作曲：Joe Lawrence, Trevor Ingram / 編曲：pieni tonttu",アルバム,63,1,20241110 08:40:26
297,青春ブギ,Are You Happy?,2016,under the supervision of Masaki A.,作詞：paddy / 作曲：Soul-273 / 編曲：ha-j,アルバム,13,1,20241110 08:40:26
298,WONDER-LOVE,Are You Happy?,2016,under the supervision of Kazunari N.,"作詞：KOU& / 作曲・編曲：Erik Lidbom, Jon Hällgren",アルバム,12,1,20241110 08:40:26
299,Miles away,Are You Happy?,2016,under the supervision of Satoshi O.,作詞：100+ / 作曲：R.P.P / 編曲：metropolitan digital clique,アルバム,12,1,20241110 08:40:26
300,To my homies,Are You Happy?,2016,under the supervision of Sho S.,作詞：BASI / Rap詞：櫻井翔 / 作曲・編曲：韻シスト,アルバム,18,1,20241110 08:40:26
301,Don't You Get It,Are You Happy?,2016,日立ロボットクリーナー「ミニマル」CMソング,"作詞：KOU& / 作曲：Didrik Thott, Christian Fast, Henrik Nordenback / 編曲：吉岡たく, 佐々木博史",アルバム,50,1,20241110 08:40:26
302,TWO TO TANGO,Are You Happy?,2016,,"作詞：HARAJUKU KIDZ / Rap詞：櫻井翔 / 作曲：Kevin Charge, Andreas Öberg, HARAJUKU KIDS / 編曲：metropolitan digital clique",アルバム,10,1,20241110 08:40:26
303,I'll be there,I'll be there | 「untitled」,2017,フジテレビ系ドラマ「貴族探偵」主題歌,"作詞：Goro.T / 作曲：Fredrik”Figge”Bostrom, 佐原康介 / 編曲：佐原康介, metropolitan digital clique",シングル,141,4,20241110 08:40:26
304,Round and Round,I'll be there,2017,,"作詞：Funk Uchino / 作曲：Christofer Erixon, Josef Melin / 編曲：Josef Melin",カップリング,0,0,20241110 08:40:26
305,unknown,I'll be there,2017,,"作詞：Macoto56 / Rap詞：櫻井翔 / 作曲：AI Swettenham, HIKARI / 編曲：吉岡たく",カップリング,3,0,20241110 08:40:26
306,Treasure of life,I'll be there,2017,,"作詞：Tutti / 作曲：Erik Lidbom, Simon Janlöv / 編曲：Simon Janlöv",カップリング,3,0,20241110 08:40:26
307,つなぐ,つなぐ | 「untitled」,2017,映画「忍びの国」主題歌,"作詞：paddy / 作曲：Peter Nord, Kevin Borg / 編曲：Peter Nord, 佐々木博史",シングル,298,5,20241110 08:40:26
308,お気に召すまま,つなぐ,2017,,"作詞：WINESS / 作曲：Justin Reinstein, Saw Arrow / 編曲：Justin Reinstein",カップリング,28,1,20241110 08:40:26
309,Reach for the sky〜天までとどけ〜,つなぐ,2017,JAL「先得キャンペーン2017」 CMソング,"作詞：RUCCA / 作曲：Simon Janlöv, Funk Uchino / 編曲：藤間仁",カップリング,103,0,20241110 08:40:26
310,抱きしめたい,つなぐ,2017,,"作詞：IROCO-STAR / 作曲：Simon Janlöv, Mr.Mustard / 編曲：前口渉",カップリング,7,0,20241110 08:40:26
311,Under the radar,つなぐ,2017,,"作詞：市川喜康 / 作曲：Kevin Charge, Erik Lidbom / 編曲：Kevin Charge",カップリング,4,0,20241110 08:40:26
312,Green Light,「untitled」,2017,,"作詞：AKIRA, JUN / 作曲：Christofer Erixon, Josef Melin / 編曲：石塚知生",アルバム,64,1,20241110 08:40:26
313,「未完」,「untitled」,2017,,作詞：JUNE / Rap詞：櫻井翔 / 作曲：Josef Melin / 編曲：佐々木博史,アルバム,160,1,20241110 08:40:26
314,Sugar,「untitled」,2017,,"作詞：HIKARI / 作曲：iiiSAK, HIKARI / 編曲：iiiSAK",アルバム,467,2,20241110 08:40:26
315,ありのままで,「untitled」,2017,,"作詞：Atsushi Shimada, MiNE / 作曲：Christofer Erixon, Joakim Bjornberg, Atsushi Shimada / 編曲：Atsushi Shimada",アルバム,11,0,20241110 08:40:26
316,風雲,「untitled」,2017,,"作詞：IROCO-STAR / 作曲：Erik Lidbom, Simon Janlöv / 編曲：metropolitan digital clique",アルバム,14,1,20241110 08:40:26
317,抱擁,「untitled」,2017,,"作詞：ORI / Rap詞：櫻井翔 / 作曲：Victor Sagers, Peter Boyes, Caroline Gustavsson / 編曲：吉岡たく",アルバム,166,1,20241110 08:40:26
318,Pray,「untitled」,2017,,"作詞：IROCO-STAR / 作曲：Erik Lidbom, wonder note / 編曲：Erik Lidbom",アルバム,10,1,20241110 08:40:26
319,光,「untitled」,2017,,"作詞：Komei Kobayashi / Rap詞：櫻井翔 / 作曲：久保田真吾, KOUDAI IWATSUBO, 佐々木久美 / 編曲：久保田真吾",アルバム,115,1,20241110 08:40:26
320,彼方へ,「untitled」,2017,,"作詞：RUCCA / 作曲：TAKAROT, iiiSAK / 編曲：TAKAROT, 河合英嗣",アルバム,37,1,20241110 08:40:26
321,Song for you,「untitled」,2017,組曲,"作詞：市川喜康 / 作曲：Simon Janlöv, wonder note, Kevin Charge, Erik Lidbom, SHIROSE, 山下康介 / 編曲：山下康介 ",アルバム,23,1,20241110 08:40:26
322,バズりNIGHT,「untitled」,2017,相葉雅紀・大野智・櫻井翔,"作詞：多田慎也 / 作曲：A.K.Janeway, 多田慎也 / 編曲：A.K.Janeway",アルバム,126,1,20241110 08:40:26
323,夜の影,「untitled」,2017,松本潤・二宮和也・大野智,"作詞：Funk Uchino / 作曲：MLC, Soma Genda / 編曲：Soma Genda, Captain B",アルバム,6,1,20241110 08:40:26
324,UB,「untitled」,2017,相葉雅紀・二宮和也,"作詞：ASIL / 作曲：Samuel Waermo, Stefan Ekstedt, Didrik Thott / 編曲：佐々木博史 ",アルバム,6,1,20241110 08:40:26
325,Come Back,「untitled」,2017,松本潤・櫻井翔,作詞・作曲・編曲：田中直 / Rap詞：櫻井翔,アルバム,25,1,20241110 08:40:26
326,カンパイ・ソング,「untitled」,2017,,作詞：halmelnuts / 作曲：Kehn mind / 編曲：河合英嗣,アルバム,14,2,20241110 08:40:26
327,Doors〜勇気の軌跡〜,Doors〜勇気の軌跡〜,2017,日本テレビ系ドラマ「先に生まれただけの僕」主題歌,"作詞：RUCCA / 作曲：Simon Janlöv, Saw Arrow / 編曲：吉岡たく",シングル,163,1,20241110 08:40:26
328,Winter days,Doors〜勇気の軌跡〜,2017,,"作詞：今井了介 / 作曲・編曲：今井了介, Tasuku Maeda",カップリング,2,0,20241110 08:40:26
329,NOW or NEVER,Doors〜勇気の軌跡〜,2017,ガンホー「パズル&ドラゴンズ」CMソング,"作詞：wonder note / 作曲：Kevin Charge, wonder note / 編曲：前口渉",カップリング,125,1,20241110 08:40:26
330,Perfect Night,Doors〜勇気の軌跡〜,2017,,作詞：Macoto56 / 作曲・編曲：Chris Meyer,カップリング,2,0,20241110 08:40:26
331,BORDER,Doors〜勇気の軌跡〜,2017,,作詞：ASIL / 作曲・編曲：HIKARI,カップリング,2,0,20241110 08:40:26
332,Find The Answer,Find The Answer,2018,TBS系ドラマ「99.9 刑事専門弁護士 SEASON Ⅱ」主題歌,"作詞：HIKARI / 作曲：7th Avenue, HIKARI / 編曲：metropolitan digital clique",シングル,372,3,20241110 08:40:26
333,街角の恋人たち,Find The Answer,2018,,"作詞：Goro.T / 作曲：Kevin Charge, Ricky Hanley, Carlos Okabe, Saw Arrow / 編曲：石塚知生",カップリング,1,0,20241110 08:40:26
334,Circle,Find The Answer,2018,,"作詞：paddy / 作曲：今井了介, Tasuku Maeda / 編曲：吉岡たく",カップリング,5,0,20241110 08:40:26
335,Bounce Beat,Find The Answer,2018,,"作詞：IROCO-STAR / 作曲：Henrik Nordenback, Christian Fast, Samuel Waermo / 編曲：Henrik Nordenback",カップリング,5,0,20241110 08:40:26
336,白が舞う,Find The Answer,2018,日本テレビ系「ピョンチャン2018」テーマソング,"作詞：Funk Uchino / 作曲：Erik Lidbom, eltvo / 編曲：Erik Lidbom",カップリング,63,0,20241110 08:40:26
337,夏疾風,夏疾風,2018,2018 ABC夏の高校野球応援ソング/「熱闘甲子園」テーマソング,作詞・作曲：北川悠仁 / 編曲：K Project,シングル,124,3,20241110 08:40:26
338,After the rain,夏疾風,2018,,"作詞・作曲：Nai-T / 編曲：Nai-T, metropolitan digital clique",カップリング,68,0,20241110 08:40:26
339,Midsummer Night's Lover,夏疾風,2018,,"作詞：ASIL / 作曲：Erik Lidbom, Mr.Mustard / 編曲：Erik Lidbom",カップリング,5,0,20241110 08:40:26
340,Sparkle,夏疾風,2018,,"作詞：IROCO-STAR / 作曲：Josef Melin, Christofer Erixon / 編曲：Josef Melin",カップリング,5,0,20241110 08:40:26
341,君のうた,君のうた,2018,テレビ朝日系ドラマ「僕とシッポと神楽坂」主題歌,"作詞：ASIL / 作曲：多田慎也, A.K.Janeway / 編曲：佐々木博史",シングル,308,5,20241110 08:40:26
342,White On White,君のうた,2018,,作詞：IROCO-STAR / 作曲・編曲：Josef Melin,カップリング,2,0,20241110 08:40:26
343,Sky Again,君のうた,2018,JAL「Fly for it!」キャンペーンソング,作詞：Goro.T / 作曲・編曲：Erik Lidbom,カップリング,7,0,20241110 08:40:26
344,Fake it,君のうた,2018,,"作詞：HIKARI / 作曲：Kevin Charge, HIKARI / 編曲：Kevin Charge",カップリング,6,0,20241110 08:40:26
345,Count on me,君のうた,2018,,"作詞：Funk Uchino / 作曲：Erik Lidbom, Saori Tsuchiya / 編曲：石塚知生",カップリング,89,1,20241110 08:40:26
346,5×20,5×20 All the BEST!! 1999-2019,2019,,作詞：嵐 / Rap詞：櫻井翔 / 作曲：youth case / 編曲：ha-j,アルバム,127,4,20241110 08:40:26
347,BRAVE,BRAVE,2019,ラグビーワールドカップ2019日本大会(日本テレビ系)イメージソング,作詞：Goro.T / Rap詞：櫻井翔 / 作曲：Fredrik “Figge” Bostrom / 編曲：石塚知生,シングル,498,3,20241110 08:40:26
348,Turning Up,Turning Up | This is 嵐,2019,デジタルシングル,"Written by Andreas Carlsson, Erik Lidbom, Funk Uchino / Rap by Sho Sakurai / Produced by Erik Lidbom, Andreas Carlsson / Track production by Erik Lidbom / Additional track production by Geek Boy Al Swettenham",シングル,792,2,20241110 08:40:26
349,A-RA-SHI : Reborn,A-RA-SHI : Reborn | Reborn Vol.1 | This is 嵐,2019,デジタルシングル,"Written by J&T, Koji Makaino, Andreas Carlsson, Erik Lidbom, Sho Sakurai, Geek Boy Al Swettenham",シングル,81,0,20241110 08:40:26
350,Turning Up (R3HAB Remix),Turning Up (R3HAB Remix) | This is 嵐,2020,デジタルシングル,"Written by Andreas Carlsson, Erik Lidbom, Funk Uchino, Sho Sakurai / Track produced by Erik Lidbom / Remixed by R3HAB",シングル,62,0,20241110 08:40:26
351,a Day in Our Life : Reborn,Reborn Vol.1 | This is 嵐,2020,デジタルEP,"Written by SHUN, SHUYA, Andreas Carlsson, Geek Boy Al Swettenham, Sho Sakurai",アルバム,192,1,20241110 08:40:26
352,One Love : Reborn,Reborn Vol.1 | This is 嵐,2020,デジタルEP,"Written by youth case, Yusuke Kato, Andreas Carlsson, Erik Lidbom",アルバム,181,1,20241110 08:40:26
353,Love so sweet : Reborn,Love so sweet : Reborn | This is 嵐,2020,デジタルシングル,"Written by SPIN, youth case, Ellen Shipley / Produced by Afterhrs",シングル,55,0,20241110 08:40:26
354,Face Down : Reborn,Face Down : Reborn | This is 嵐,2020,デジタルシングル,"Written by eltvo, Albi Albertsson, Royce.H, Vincent Stein, Konstantin Scherer, Ellen Shipley / Produced by BloodPop, Tom Norris",シングル,9,0,20241110 08:40:26
355,IN THE SUMMER,IN THE SUMMER | This is 嵐,2020,デジタルシングル,"Written by Rami Yacoub, Gregory Hein, Funk Uchino / Produced by Rami Yacoub for MXM Productions",シングル,104,1,20241110 08:40:26
356,カイト,カイト | This is 嵐,2020,NHK2020ソング,作詞・作曲・編曲：米津玄師 / オーケストラ編曲：坂東祐大,シングル,78,1,20241110 08:40:26
357,Journey to Harmony,カイト,2020,天皇陛下御即位奉祝曲「Ray of Water」第3楽章,作詞：岡田惠和 / 作曲・編曲：菅野よう子,カップリング,17,0,20241110 08:40:26
358,Sounds of Joy,カイト,2020,,"作詞：Funk Uchino / 作曲：川口進, Andreas Ohrn, Henrik Smith, 佐原康太 / 編曲：石塚知生",カップリング,42,0,20241110 08:40:26
359,僕らの日々,カイト,2020,,作詞・作曲：Na-T / 編曲：佐々木博史,カップリング,22,0,20241110 08:40:26
360,Whenever You Call,Whenever You Call,2020,デジタルシングル,"Written by Bruno Mars, D'Mile / Produced by Bruno Mars, D'Mile",シングル,180,2,20241110 08:40:26
361,Party Starters,Party Starters | This is 嵐,2020,デジタルシングル / ソフトバンク5Gプロジェクト CMソング,"Written by Sam Hollander, Grant Michaels, Funk Uchino / Rap by Sho Sakurai / Produced by Sam Hollander, Grant Michaels",シングル,166,1,20241110 08:40:26
362,SHOW TIME,This is 嵐,2020,,"Written by AKIRA, Singo Kubota, Satoru Kurihara",アルバム,124,1,20241110 08:40:26
363,I Can't Wait For Christmas,This is 嵐,2020,,"Lyrics by miwaflower / Music by DWB, Mike Macdermid, Julie Morrison / Arranged by Hirofumi Sasaki",アルバム,39,0,20241110 08:40:26
364,いつか秒針のあう頃,This is 嵐,2020,,"Written by Rami Yacoub, Shiho Otowa / Rap by Sho Sakurai / Produced by Rami Yacoub for MXM Productions",アルバム,300,1,20241110 08:40:26
365,Do you...?,This is 嵐,2020,,"Lyrics by Atsushi Shimada, MiNE / Rap by Sho Sakurai / Music by Takuya Harada, MiNE, Atsushi Shimada / Arranged by Tomoki Ishizuka",アルバム,473,1,20241110 08:40:26
366,The Music Never Ends,This is 嵐,2020,,"Written by Julian Bunetta, John Ryan, Funk Uchino /  Produced by Julian Bunetta",アルバム,29,1,20241110 08:40:26
